,Season,Episode Number,Episode Name,Air Date,IMDb Rating,Votes
99,S8,E2 ,Into the Dalek,,7.5,7.4K
100,S8,E3 ,Robot of Sherwood,,6.9,7.6K
101,S8,E4 ,Listen,,8.7,9.3K
102,S8,E5 ,Time Heist,,7.8,7.1K
103,S8,E6 ,The Caretaker,,7.2,6.3K
104,S8,E7 ,Kill the Moon,,6.6,7.1K
105,S8,E8 ,Mummy on the Orient Express,,8.4,7.1K
106,S8,E9 ,Flatline,,8.3,6.7K
107,S8,E10 ,In the Forest of the Night,,6.0,6.5K
108,S8,E11 ,Dark Water,,8.5,7K
109,S8,E12 ,Death in Heaven,,7.8,6.8K
110,S9,E0 ,Last Christmas,,8.1,6.7K
111,S9,E1 ,The Magician's Apprentice,,8.3,7.2K
112,S9,E2 ,The Witch's Familiar,,8.4,6.6K
113,S9,E3 ,Under the Lake,,8.1,6.3K
114,S9,E4 ,Before the Flood,,8.0,6K
115,S9,E5 ,The Girl Who Died,,7.4,6K
116,S9,E6 ,The Woman Who Lived,,7.2,5.8K
117,S9,E7 ,The Zygon Invasion,,7.6,5.7K
118,S9,E8 ,The Zygon Inversion,,8.4,6.2K
119,S9,E9 ,Sleep No More,,5.8,6.2K
120,S9,E10 ,Face the Raven,,8.5,6.8K
121,S9,E11 ,Heaven Sent,,9.6,14K
122,S9,E12 ,Hell Bent,,8.6,7.6K
123,S9,E13 ,The Husbands of River Song,,8.5,6.8K
124,S10,E0 ,The Return of Doctor Mysterio,,7.3,6.2K
125,S10,E1 ,The Pilot,,7.8,6.2K
126,S10,E2 ,Smile,,7.2,5.4K
127,S10,E3 ,Thin Ice,,7.2,5.2K
128,S10,E4 ,Knock Knock,,7.3,5.2K
129,S10,E5 ,Oxygen,,7.9,5.3K
130,S10,E6 ,Extremis,,8.3,5.5K
131,S10,E7 ,The Pyramid at the End of the World,,7.6,4.9K
132,S10,E8 ,The Lie of the Land,,7.1,4.7K
133,S10,E9 ,Empress of Mars,,6.9,4.6K
134,S10,E10 ,The Eaters of Light,,6.8,4.6K
135,S10,E11 ,World Enough and Time,,9.1,6.4K
136,S10,E12 ,The Doctor Falls,,9.0,6.4K
137,S11,E0 ,Twice Upon a Time,,8.3,8.2K
138,S11,E1 ,The Woman Who Fell to Earth,,6.9,12K
139,S11,E2 ,The Ghost,,6.1,9.3K
140,S11,E3 ,Rosa,,7.1,11K
141,S11,E4 ,Arachnids in the UK,,5.1,8.6K
142,S11,E5 ,The Tsuranga Conundrum,,5.1,8.1K
143,S11,E6 ,Demons of the Punjab,,6.6,8.2K
144,S11,E7 ,Kerblam!,,6.3,7.4K
145,S11,E8 ,The Witchfinders,,5.8,7K
